loss,val_loss
8.507987,7.854192
7.4761176,7.1415668
5.145087,4.2050095
4.080742,3.9893887
3.9330065,3.885436
3.8467093,3.8113043
3.7881207,3.7593997
3.7431207,3.728955
3.7096038,3.7047873
3.6852667,3.6881511
3.6624963,3.6574466
3.642765,3.6414063
3.6273942,3.629963
3.6158285,3.6240659
3.6036417,3.6103613
3.5951667,3.604889
3.5860212,3.59169
3.577957,3.5931692
3.570812,3.5806878
3.5655735,3.5775764
3.557136,3.5663807
3.5558658,3.579774
3.5524733,3.5534115
3.54201,3.553662
3.538034,3.550863
3.530046,3.5539327
3.526678,3.5369911
3.5220778,3.5396402
3.5172946,3.5415378
3.51895,3.5385983
3.5154734,3.530736
3.5099463,3.527992
3.5059984,3.5221403
3.5023892,3.5218167
3.4995599,3.5227118
3.4964175,3.5195322
3.4925096,3.5194197
3.4913526,3.5086792
3.4892771,3.5107863
3.4864616,3.5068269
3.4817908,3.509328
3.4786377,3.5019205
3.47692,3.50199
3.4756517,3.5028355
3.4737291,3.4969516
3.4731638,3.4974189
3.469228,3.4975142
3.4682832,3.4918761
3.4669006,3.4931593
3.4662828,3.4895563
3.4643404,3.4865656
3.4614778,3.4879422
3.4603534,3.488659
3.4610012,3.518268
3.4667902,3.489683
3.457855,3.485098
3.4552019,3.4810648
3.4672656,3.4965425
3.4607124,3.484951
3.4558716,3.4827313
3.4507222,3.4820693
3.4491584,3.479088
3.4474244,3.4806452
3.446533,3.478481
3.4441144,3.4803565
3.4516058,3.4823086
3.4464924,3.4793212
3.44443,3.48031
3.4751813,3.4866905
